DateTimePST,binary_sensor.tstat_upstairs_ac_on,sensor.master_bed_temperature_average,sensor.outside_temperature_coldest_sensor
6/8/2025 10:25,0,68,68.4
6/8/2025 10:26,0,68,68.9
6/8/2025 10:28,0,70,68.9
6/8/2025 10:41,0,70,69.8
6/8/2025 10:56,0,70,70.6
6/8/2025 11:11,0,70,71.0
6/8/2025 11:26,0,70,71.7
6/8/2025 11:40,0,72,71.7
6/8/2025 11:40,1,72,71.7
6/8/2025 11:41,1,72,72.5
6/8/2025 11:42,1,70,72.5
6/8/2025 11:56,1,70,73.0
6/8/2025 12:11,1,70,73.9
6/8/2025 12:26,1,70,74.8
6/8/2025 12:38,1,70,75.7
6/8/2025 12:53,1,70,76.6
6/8/2025 13:08,1,70,77.4
6/8/2025 13:18,1,70,78.4
6/8/2025 13:33,1,70,79.3
6/8/2025 13:44,1,70,79.3
6/8/2025 13:48,1,70,80.2
6/8/2025 13:58,1,70,80.3
6/8/2025 14:00,1,70,80.7
6/8/2025 14:02,1,70,81.1
6/8/2025 14:04,1,70,81.3
6/8/2025 14:06,1,70,81.4
6/8/2025 14:17,1,70,82.0
6/8/2025 14:33,1,70,82.6
6/8/2025 14:44,0,70,82.6
6/8/2025 14:44,1,70,82.6
6/8/2025 14:48,1,70,82.9
6/8/2025 15:03,1,70,83.2
6/8/2025 15:18,1,70,83.5
6/8/2025 15:18,1,72,83.5
6/8/2025 15:19,1,70,83.5
6/8/2025 15:26,1,72,83.5
6/8/2025 15:33,1,72,83.7
6/8/2025 15:48,1,72,84.2
6/8/2025 16:03,1,72,84.5
6/8/2025 16:18,1,72,84.6
6/8/2025 16:47,1,72,85.5
6/8/2025 17:02,1,72,85.9
6/8/2025 17:03,1,73,85.9
6/8/2025 17:17,1,73,85.9
6/8/2025 17:32,1,73,86.3
6/8/2025 17:47,1,73,86.2
6/8/2025 18:02,1,73,85.6
6/8/2025 18:18,1,73,84.9
6/8/2025 18:33,1,73,84.4
6/8/2025 18:47,1,75,84.4
6/8/2025 18:48,1,75,83.9
6/8/2025 19:03,1,75,83.4
6/8/2025 19:18,1,75,82.7
6/8/2025 19:19,1,77,82.7
6/8/2025 19:28,1,75,82.7
6/8/2025 19:33,1,75,82.0
6/8/2025 19:48,1,75,81.3
6/8/2025 20:04,1,75,80.6
6/8/2025 20:19,1,75,79.9
6/8/2025 20:34,1,75,79.2
6/8/2025 20:49,1,75,78.2
6/8/2025 21:04,1,75,77.3
6/8/2025 21:19,1,75,76.4
6/8/2025 21:34,1,75,75.8
6/8/2025 21:46,1,73,75.8
6/8/2025 21:49,1,73,75.2
6/8/2025 22:05,1,73,74.8
6/8/2025 22:20,1,73,74.3
6/8/2025 22:24,1,73,74.2
6/8/2025 22:35,1,73,73.9
6/8/2025 22:36,1,73,73.7
6/8/2025 22:45,1,72,73.7
6/8/2025 22:51,1,72,73.3
