PDT,binary_sensor.master_bed_window_fan_state,sensor.master_bed_temperature_average,sensor.outside_temperature_coldest_sensor
7:25:00 PM,0,73.4,65.174
7:27:26 PM,0,75.2,65.174
7:28:39 PM,0,73.4,65.174
7:29:07 PM,1,73.4,65.174
7:33:25 PM,1,73.4,65.138
7:48:31 PM,1,73.4,64.652
7:54:04 PM,1,73.4,64.526
7:54:17 PM,1,73.4,64.184
7:59:05 PM,1,73.4,63.554
8:00:34 PM,1,71.6,63.554
8:02:17 PM,1,71.6,63.248
8:07:06 PM,1,71.6,62.564
8:14:17 PM,1,71.6,62.348
8:22:09 PM,1,71.6,61.7
8:26:17 PM,1,71.6,61.43
8:29:30 PM,1,69.8,61.43
8:35:11 PM,1,69.8,60.8
8:41:17 PM,1,69.8,60.656
8:50:14 PM,1,69.8,60.116
8:56:16 PM,1,69.8,60.026
9:05:16 PM,1,69.8,59.252
9:11:16 PM,1,69.8,59.18
9:16:23 PM,1,68,59.18
9:20:18 PM,1,68,58.55
9:35:20 PM,1,68,58.136
9:48:53 PM,0,68,58.136
9:50:23 PM,0,68,57.938
